"especie","ECB","ECD","ECI"
"Acanthoponera mucronata",3,0,24
"Acromyrmex sp1",18,17,29
"Acromyrmex sp2",2,0,0
"Acromyrmex sp3",1,0,0
"Anochetus cf. neglectus",1,0,0
"Anochetus neglectus",1,0,8
"Apterostigma pilosum",2,0,4
"Brachymyrmex sp1",13,25,325
"Camponotus blandus",2,0,0
"Camponotus cf. mus",15,13,29
"Camponotus cf. substitutus",1,0,5
"Camponotus cordiceps ",1,0,0
"Camponotus punctulatus",1,0,0
"Camponotus rufipes",8,6,0
"Camponotus sanctaefidei",20,1,0
"Camponotus sericeiventris",7,0,0
"Camponotus sp1",16,2,50
"Camponotus sp2",3,0,0
"Camponotus sp3",2,3,0
"Camponotus sp5",18,0,0
"Cephalotes clypeatus",1,0,0
"Cephalotes incertus",1,0,0
"Cephalotes minutus",1,0,0
"Cephalotes pilosus",1,0,0
"Cephalotes sp1",166,78,43
"Cephalotes sp2",14,0,4
"Cephalotes sp3",2,0,0
"Crematogaster sp1",192,48,88
"Cyphomyrmex rimosus",1,4,2
"Cyphomyrmex sp1",2,1,1
"Dolichoderus sp1",4,15,0
"Dorymyrmex thoracicus",1,0,0
"Eciton vagans",6,0,0
"Ectatomma edentatum",1,3,1
"Ectatomma sp1",2,0,0
"Gnamptogenys moelleri",3,2,5
"Gnamptogenys sp1",2,0,0
"Gnamptogenys striatula",1,0,0
"Hypoponera sp1",147,404,71
"Hypoponera sp2",1,1,15
"Hypoponera sp3",1,0,2
"Hypoponera sp4",57,11,19
"Labidus praedator",1,0,7
"Linepithema humile",147,3,4
"Linepithema sp1",83,18,2
"Neoponera cf. villosa",6,1,0
"Nesomyrmex spininodis",32,27,49
"Nylanderia cf. silvestrii",35,0,0
"Nylanderia fulva",111,41,5
"Nylanderia silvestrii",3,8,0
"Nylanderia sp3",17,0,0
"Octostruma balzani",29,1,17
"Odontomachus chelifer",3,0,0
"Odontomachus haematodus",1,0,0
"Pheidole cf. capillata",1,0,0
"Pheidole cf. synarmata",1,0,0
"Pheidole radoszkowskii",1,0,4
"Pheidole sp1",24,88,158
"Pheidole sp2",4,2,30
"Pheidole sp3",1,1,0
"Prionopelta punctulata",1,0,66
"Procryptocerus cf. goeldii",2,0,0
"Procryptocerus goeldii",14,0,0
"Pseudomyrmex cf. gracilis",3,1,2
"Pseudomyrmex gracilis",1,0,0
"Pseudomyrmex pallidus",1,0,0
"Pseudomyrmex phyllophilus",1,0,0
"Pseudomyrmex sp1",24,6,2
"Pseudomyrmex sp2",2,0,20
"Pseudomyrmex sp3",16,0,2
"Solenopsis sp1",243,1,625
"Solenopsis sp2",20,23,286
"Strumigenys cf. eggersi",3,0,0
"Strumigenys cf. silvestrii",5,0,0
"Strumigenys eggersi",114,15,12
"Strumigenys louisianae",1,0,0
"Trachymyrmex sp1",2,0,6
"Wasmannia auropunctata",182,209,214
"Camponotus sp10",0,17,0
"Camponotus sp11",0,1,0
"Camponotus sp12",0,2,0
"Camponotus sp4",0,1,0
"Camponotus sp8",0,1,0
"Camponotus sp9",0,2,0
"Camponotus substitutus",0,1,0
"Crematogaster sp2",0,8,2
"Crematogaster sp3",0,25,0
"Dolichoderus bispinosus",0,15,0
"Dorymyrmex sp3",0,5,0
"Ectatomma brunneum",0,2,9
"Ectatomma opaciventre",0,2,0
"Gnamptogenys sulcata",0,2,0
"Hypoponera trigona",0,1,0
"Linepithema sp2",0,4,0
"Myrmelachista sp1",0,1,0
"Procryptocerus hylaeus",0,1,0
"Pseudomyrmex cf. denticollis",0,6,0
"Rogeria scobinata",0,1,13
"Acromyrmex cf. lundii",0,0,1
"Brachymyrmex sp2",0,0,9
"Cephalotes cf. incertus",0,0,9
"Cephalotes sp4",0,0,5
"Dorymyrmex sp1",0,0,1
"Eciton sp1",0,0,1
"Hypoponera foreli",0,0,3
"Labidus sp1",0,0,2
"Leptogenys pusilla",0,0,1
"Megalomyrmex silvestrii",0,0,1
"Nesomyrmex vicinus",0,0,1
"Pheidole sp4",0,0,6
"Platythyrea exigua",0,0,1
"Strumigenys dyseides",0,0,1
"Strumigenys elongata",0,0,1
"Strumigenys lilloana",0,0,6
