ID,Trofica,Forrajeo,LocNido,ForReclut,EstrcEsp,Tam,Colec,Copor,SelecAli
Prionopelta_punctulata,5,9,13,15,20,26,31,34,36
Dolichoderus_bispinosus,1,7,11,16,22,28,29,33,35
Dorymyrmex_thoracicus,1,7,11,16,23,27,29,33,35
Linepithema_humile,6,7,11,17,19,27,30,32,35
Linepithema_sp1,6,7,11,17,19,27,29,32,35
Eciton_vagans,4,10,12,17,20,28,29,32,36
Labidus_praedator,4,10,14,18,20,28,29,32,36
Ectatomma_brunneum,4,9,11,15,21,28,29,32,35
Ectatomma_edentatum,4,9,11,16,20,27,29,32,35
Ectatomma_opaciventre,4,9,11,16,20,27,29,32,35
Holcoponera_moelleri,4,7,11,16,20,26,29,34,36
Holcoponera_striatula,4,7,11,16,20,26,29,34,36
Gnamptogenys_sulcata,4,7,11,16,20,26,31,34,36
Camponotus_blandus,6,7,11,17,19,27,29,33,35
Camponotus_mus,6,7,12,17,19,28,29,33,35
Camponotus_substitutus,6,7,12,17,19,28,29,33,35
Camponotus_cordiceps,6,7,12,17,19,28,29,33,35
Camponotus_punctulatus,6,7,12,17,19,28,29,33,35
Camponotus_rufipes,6,7,12,17,19,28,29,33,35
Camponotus_sanctaefidei,1,8,11,17,22,27,30,36,35
Camponotus_sericeiventris,6,7,14,17,19,28,30,32,35
Brachymyrmex_cordemoyi,6,7,14,17,19,25,31,33,35
Brachymyrmex_sp2,6,7,14,17,19,25,31,33,35
Nylanderia_fulva,6,7,14,17,19,26,31,33,35
Nylanderia_silvestrii,6,7,14,17,19,26,31,33,35
Acanthoponera_mucronata,5,8,12,16,20,27,31,32,36
Acromyrmex_lundii,2,8,13,17,22,28,30,32,36
Apterostigma_pilosum,3,9,12,16,23,26,31,34,36
Cephalotes_clypeatus,1,8,11,16,22,28,30,33,36
Cephalotes_incertus,1,8,11,16,22,28,30,33,36
Cephalotes_minutus,1,8,11,16,22,28,30,33,36
Cephalotes_pilosus,1,8,11,16,22,28,30,33,36
Cephalotes_sp1,1,8,11,16,22,28,30,33,36
Cyphomyrmex_rimosus,3,8,13,16,23,26,31,34,36
Octostruma_balzani,5,9,12,15,23,27,31,34,36
Pheidole_capillata,6,8,13,17,20,26,31,32,36
Pheidole_synarmata,6,8,13,17,20,26,31,32,36
Pheidole_radoszkowskii,6,8,13,17,20,26,31,32,35
Pheidole_obscurithorax,6,8,13,17,20,26,31,32,35
Procryptocerus_goeldii,1,8,11,16,22,27,30,34,36
Procryptocerus_hylaeus,1,8,11,16,22,27,30,34,36
Strumigenys_dyseides,5,9,12,15,23,27,31,34,36
Strumigenys_eggersi,5,9,12,15,23,27,31,34,36
Strumigenys_elongata,5,9,12,15,23,27,31,34,36
Strumigenys_lilloana,5,9,12,15,23,27,31,34,36
Strumigenys_silvestrii,5,9,12,15,23,27,31,34,36
Strumigenys_louisianae,5,9,12,15,23,27,31,34,36
Wasmannia_auropunctata,6,7,11,17,19,23,31,32,35
Crematogaster_sp1,6,7,11,17,23,23,31,32,35
Nesomyrmex_spininodis,5,9,11,17,20,26,30,33,35
Nesomyrmex_vicinus,5,9,11,17,20,26,30,33,35
Megalomyrmex_silvestrii,4,7,13,17,19,27,31,32,36
Rogeria_scobinata,5,9,12,15,20,25,31,34,35
Solenopsis_saevissima,6,9,13,17,19,25,31,32,35
Solenopsis_invicta,6,9,13,17,19,25,31,32,35
Platythyrea_exigua,5,9,12,15,20,27,30,34,36
Anochetus_neglectus,5,9,12,15,21,26,31,34,36
Hypoponera_foreli,5,9,13,15,20,26,31,34,35
Hypoponera_trigona,5,9,13,15,20,26,31,34,35
Hypoponera_sp2,5,9,13,15,20,26,31,34,35
Leptogenys_pusilla,5,10,13,18,20,27,31,34,36
Neoponera_villosa,5,9,11,15,20,28,29,34,35
Odontomachus_chelifer,4,9,13,15,21,28,29,32,36
Odontomachus_haematodus,4,9,13,15,21,28,29,32,36
Pseudomyrmex_denticollis,4,7,13,15,24,28,29,36,35
Pseudomyrmex_gracilis,4,7,11,15,24,27,30,36,35
Pseudomyrmex_pallidus,4,7,11,15,24,27,30,36,35
Pseudomyrmex_phyllophilus,4,7,11,15,24,27,30,36,35
