TRATAMIENTO,BOSQUE,Taxa_S,INCIDENCIA,D1,D2
ECB,ESC,28,74,18.70891223,13.29787234
ECB,ESC,34,59,26.36401468,19.45525292
ECB,PCII,25,55,19.29797176,15.3609831
ECB,PCII,20,46,15.16514951,11.89060642
ECB,RCH,31,100,22.33153935,17.42160279
ECB,RCH,19,48,14.95431669,12.25490196
ECI,ESQ,14,28,11.84611541,10.31991744
ECI,ESQ,10,19,8.281300324,7.077140835
ECI,EBA,28,71,20.26712267,15.69858713
ECI,EBA,24,86,20.04540599,17.6056338
ECI,PCI,28,93,18.76512324,14.24501425
ECI,PCI,18,39,15.07443104,13.00390117
ECD,VED,19,30,17.42663878,16.07717042
ECD,VED,12,21,10.03420744,8.319467554
ECD,PAN,22,70,14.09753557,9.881422925
ECD,PAN,18,56,12.47841061,9.68054211
ECD,PIN,14,35,10.4750894,8.006405124
ECD,PIN,13,33,10.28822462,8.710801394
