ID,L_Weber,L_Femur,MD_ojo,L_escap,L_mandib,A_Cabeza,Dist_entre_ojos,Dis_ojo_Mand,Posicion_ojo
Prionopelta_punctulata,0.67,0.31,0.02,0.28,0.24,0.47,0.46,0.2,0.26
Dolichoderus_bispinosus,1.88,1.74,0.32,1.55,0.56,1.82,1.1,0.44,0.66
Dorymyrmex_thoracicus,1.24,1.13,0.27,1,0.45,0.99,0.45,0.34,0.11
Linepithema_humile,0.84,0.47,0.1,0.72,0.33,0.64,0.38,0.17,0.21
Linepithema_sp1,0.79,0.39,0.11,0.62,0.23,0.52,0.25,0.15,0.1
Eciton_vagans,2.94,3.67,0.21,1.38,2.66,2.64,2.21,1.46,0.75
Labidus_praedator,2.23,2.43,0.04,1.46,1.2,2.19,1.91,1.04,0.87
Ectatomma_brunneum,3.11,2.69,0.4,1.72,1.18,1.68,1.5,0.9,0.6
Ectatomma_edentatum,3.09,2.41,0.38,1.7,1.22,1.54,1.32,0.73,0.59
Ectatomma_opaciventre,4.91,3.78,0.59,3.18,1.81,2.11,1.91,1.17,0.74
Holcoponera_moelleri,1.59,1.18,0.2,0.88,46,0.85,0.73,0.4,0.33
Holcoponera_striatula,1.4,1.22,0.18,0.91,0.47,0.8,0.67,0.38,0.29
Gnamptogenys_sulcata,1.81,1.35,0.32,0.98,0.74,1.16,1.08,0.25,0.83
Camponotus_blandus,2.65,1.86,0.48,1.39,0.83,2.23,1.48,1.1,0.38
Camponotus_mus,2.37,2.22,0.47,1.97,0.78,2.42,1.5,1.17,0.33
Camponotus_substitutus,3.86,4,0.61,2.33,0.9,2.49,1.51,1.38,0.13
Camponotus_cordiceps,2.92,2,0.53,2.35,0.93,2.96,1.74,1.12,0.62
Camponotus_punctulatus,2.52,2.04,0.48,1.46,0.97,2.3,1.47,1.07,0.4
Camponotus_rufipes,3.73,3.72,0.68,3.8,1.39,3.68,2.26,1.79,0.47
Camponotus_sanctaefidei,1.28,0.92,0.3,0.79,0.4,1.15,0.78,0.65,0.13
Camponotus_sericeiventris,5.3,4.56,0.65,3.19,1.39,4.16,2.14,2.02,0.12
Brachymyrmex_cordemoyi,0.54,0.44,0.11,0.42,0.24,0.45,0.38,0.15,0.23
Brachymyrmex_sp2,0.33,0.35,0.07,0.29,0.1,0.24,0.2,0.09,0.11
Nylanderia_fulva,0.85,0.75,0.13,0.67,0.35,0.62,0.36,0.25,0.11
Nylanderia_silvestrii,0.84,0.85,0.16,0.7,0.33,0.56,0.36,0.16,0.2
Acanthoponera_mucronata,2.47,1.86,0.4,1.12,0.81,1.67,1.42,0.97,0.45
Acromyrmex_lundii,2.25,2.35,0.29,1.85,1.05,1.97,1.72,0.38,1.34
Apterostigma_pilosum,1.17,1.11,0.12,0.85,0.41,0.75,0.67,0.31,0.36
Cephalotes_clypeatus,2.46,2.02,0.33,0.97,0.54,3.48,3.32,1.36,1.96
Cephalotes_incertus,0.97,0.55,0.22,0.4,0.21,1.02,0.93,0.53,0.4
Cephalotes_minutus,1.37,0.77,0.36,0.38,0.42,1.6,1.56,0.7,0.86
Cephalotes_pilosus,2.07,0.97,0.37,0.62,0.44,1.93,1.77,0.8,0.97
Cephalotes_sp1,1.1,0.76,0.24,0.58,0.34,1.15,1.14,0.16,0.98
Cyphomyrmex_rimosus,0.74,0.67,0.15,0.62,0.23,0.57,0.42,0.2,0.22
Octostruma_balzani,0.55,0.44,0.05,0.25,0.19,0.58,0.44,0.18,0.26
Pheidole_capillata,1.23,1.04,0.19,0.68,0.78,1.61,1.41,0.43,0.98
Pheidole_synarmata,0.83,0.64,0.14,0.45,0.36,0.93,0.83,0.18,0.65
Pheidole_radoszkowskii,0.94,0.91,0.17,0.72,0.46,1.11,0.97,0.35,0.62
Pheidole_obscurithorax,1.46,1.22,0.22,0.93,0.87,1.65,1.45,0.35,1.1
Procryptocerus_goeldii,1.32,0.76,0.31,0.64,0.35,1.14,0.86,0.23,0.63
Procryptocerus_hylaeus,1.45,0.9,0.29,0.61,0.24,1.23,0.98,0.26,0.72
Strumigenys_dyseides,0.43,0.36,0.02,0.29,0.28,0.33,0.26,0.2,0.06
Strumigenys_eggersi,0.36,0.21,0.02,0.25,0.33,0.43,0.23,0.14,0.09
Strumigenys_elongata,0.59,0.44,0.04,0.42,0.33,0.44,0.3,0.25,0.05
Strumigenys_lilloana,0.45,0.27,0.03,0.15,0.13,0.45,0.3,0.13,0.17
Strumigenys_silvestrii,0.4,0.26,0.02,0.27,0.21,0.31,0.25,0.24,0.01
Strumigenys_louisianae,0.65,0.49,0.03,0.42,0.33,0.52,0.32,0.22,0.1
Wasmannia_auropunctata,0.44,42,0.1,0.32,0.2,0.39,0.32,0.1,0.22
Crematogaster_sp1,0.59,0.4,0.08,0.47,0.23,0.56,0.41,0.29,0.12
Nesomyrmex_spininodis,0.75,0.43,0.15,0.53,0.29,0.65,0.58,0.16,0.42
Nesomyrmex_vicinus,0.74,0.51,0.14,0.52,0.29,0.65,0.55,0.14,0.41
Megalomyrmex_silvestrii,1.02,0.95,0.21,0.98,0.31,0.58,0.44,0.14,0.3
Rogeria_scobinata,0.57,0.39,0.08,0.33,0.24,0.48,0.43,0.08,0.35
Solenopsis_saevissima,1.18,1.13,0.19,0.69,0.54,0.94,0.81,0.33,0.48
Solenopsis_invicta,1.4,1.19,0.2,0.91,0.54,1.15,0.99,0.33,0.66
