,Ambiente,IHH,Riqueza,Abund_log,Div_Shan
SL_B1,B,21,6,1.73239376,1.437
SL_B2,B,21,6,1.963787827,1.326
SL_B3,B,21,7,2.025305865,1.34
SL_B4,B,21,6,1.838849091,1.4
SL_B5,B,21,5,1.986771734,1.187
SL_G1,G,23,6,2.320146286,1.058
SL_G2,G,23,7,2.481442629,1.287
SL_G3,G,23,6,2.369215857,1.257
SL_G4,G,23,7,2.46686762,1.216
SL_G5,G,23,5,2.056904851,1.367
SL_U1,U,60,5,3.195622944,0.8568
SL_U2,U,60,6,2.866877814,0.9682
SL_U3,U,60,6,2.837588438,0.9496
SL_U4,U,60,6,2.871572936,0.9238
SL_U5,U,60,8,2.935003151,1.02
O_B1,B,26,5,2.361727836,0.9817
O_B2,B,26,6,2.396199347,0.8327
O_B3,B,26,7,2.037426498,0.9975
O_B4,B,26,5,2.214843848,1.075
O_B5,B,26,7,2.193124598,1.24
O_G1,G,40,7,2.418301291,0.7832
O_G2,G,40,7,2.305351369,0.8435
O_G3,G,40,4,2.086359831,0.4904
O_G4,G,40,6,2.037426498,1.078
O_G5,G,40,6,1.919078092,1.097
O_U1,U,60,8,3.038620162,1.097
O_U2,U,60,6,2.974971994,1.098
O_U3,U,60,4,2.789580712,1.012
O_U4,U,60,5,3.029383778,0.9721
O_U5,U,60,5,3.008174184,0.9765
