"","genero","tribu","subfamilia"
"Prionopelta punctulata","Prionopelta","Amblyoponini","Amblyoponinae"
"Hypoponera sp1","Hypoponera","Ponerini","Ponerinae"
"Octostruma balzani","Octostruma","Attini","Myrmicinae"
"Solenopsis sp1","Solenopsis","Solenopsidini","Myrmicinae"
"Brachymyrmex sp1","Brachymyrmex","Myrmelachistini","Formicinae"
"Wasmannia auropunctata","Wasmannia","Attini","Myrmicinae"
"Strumigenys eggersi","Strumigenys","Attini","Myrmicinae"
"Hypoponera sp2","Hypoponera","Ponerini","Ponerinae"
"Rogeria scobinata","Rogeria","Solenopsidini","Myrmicinae"
"Trachymyrmex sp1","Trachymyrmex","Attini","Myrmicinae"
"Leptogenys pusilla","Leptogenys","Ponerini","Ponerinae"
"Pheidole sp1","Pheidole","Attini","Myrmicinae"
"Strumigenys dyseides","Strumigenys","Attini","Myrmicinae"
"Acromyrmex cf. lundii","Acromyrmex","Attini","Myrmicinae"
"Strumigenys lilloana","Strumigenys","Attini","Myrmicinae"
"Apterostigma pilosum","Apterostigma","Attini","Myrmicinae"
"Linepithema humile","Linepithema","Dolichoderini","Dolichoderinae"
"Anochetus neglectus","Anochetus","Ponerini","Ponerinae"
"Cyphomyrmex rimosus","Cyphomyrmex","Attini","Myrmicinae"
"Pheidole sp2","Pheidole","Attini","Myrmicinae"
"Labidus sp1","Labidus ","Ecitonini","Dorylinae"
"Nesomyrmex spininodis","Nesomyrmex","Crematogastrini","Myrmicinae"
"Crematogaster sp1","Crematogaster","Crematogastrini","Myrmicinae"
"Cephalotes sp1","Cephalotes","Attini","Myrmicinae"
"Pseudomyrmex sp1","Pseudomyrmex","Pseudomyrmecini","Pseudomyrmecinae"
"Camponotus sp1","Camponotus","Camponotini","Formicinae"
"Acanthoponera mucronata","Acanthoponera","Heteroponerini","Heteroponerinae"
"Camponotus cf. substitutus","Camponotus","Camponotini","Formicinae"
"Pseudomyrmex sp2","Pseudomyrmex","Pseudomyrmecini","Pseudomyrmecinae"
"Cephalotes cf. incertus","Cephalotes","Attini","Myrmicinae"
"Ectatomma edentatum","Ectatomma","Ectatommini","Ectatomminae"
"Eciton sp1","Eciton","Ecitonini","Dorylinae"
"Nesomyrmex vicinus","Nesomyrmex","Crematogastrini","Myrmicinae"
"Ectatomma brunneum","Ectatomma","Ectatommini","Ectatomminae"
"Pseudomyrmex sp3","Pseudomyrmex","Pseudomyrmecini","Pseudomyrmecinae"
"Camponotus cf. mus","Camponotus","Camponotini","Formicinae"
"Linepithema sp1","Linepithema","Dolichoderini","Dolichoderinae"
"Pseudomyrmex cf. gracilis","Pseudomyrmex","Pseudomyrmecini","Pseudomyrmecinae"
"Cephalotes sp4","Cephalotes","Attini","Myrmicinae"
"Cephalotes sp2","Cephalotes","Attini","Myrmicinae"
"Procryptocerus goeldii","Procryptocerus","Attini","Myrmicinae"
"Odontomachus chelifer","Odontomachus","Ponerini","Ponerinae"
"Odontomachus haematodus","Odontomachus","Ponerini","Ponerinae"
"Gnamptogenys striatula","Gnamptogenys","Ectatommini","Ectatomminae"
"Cephalotes incertus","Cephalotes","Attini","Myrmicinae"
"Cephalotes minutus","Cephalotes","Attini","Myrmicinae"
"Cephalotes pilosus","Cephalotes","Attini","Myrmicinae"
"Labidus praedator","Labidus ","Ecitonini","Dorylinae"
"Pseudomyrmex pallidus","Pseudomyrmex","Pseudomyrmecini","Pseudomyrmecinae"
"Pseudomyrmex gracilis","Pseudomyrmex","Pseudomyrmecini","Pseudomyrmecinae"
"Pseudomyrmex phyllophilus","Pseudomyrmex","Pseudomyrmecini","Pseudomyrmecinae"
"Camponotus blandus","Camponotus","Camponotini","Formicinae"
"Camponotus cordiceps ","Camponotus","Camponotini","Formicinae"
"Camponotus punctulatus","Camponotus","Camponotini","Formicinae"
"Camponotus rufipes","Camponotus","Camponotini","Formicinae"
"Camponotus sericeiventris","Camponotus","Camponotini","Formicinae"
"Nylanderia fulva","Nylanderia","Plagiolepidini","Formicinae"
"Nylanderia silvestrii","Nylanderia","Plagiolepidini","Formicinae"
"Dorymyrmex thoracicus","Dorymyrmex","Dolichoderini","Dolichoderinae"
"Nylanderia sp3","Nylanderia","Plagiolepidini","Formicinae"
"Pheidole cf. synarmata","Pheidole","Attini","Myrmicinae"
"Hypoponera sp4","Hypoponera","Ponerini","Ponerinae"
"Gnamptogenys moelleri","Gnamptogenys","Ectatommini","Ectatomminae"
"Camponotus sp5","Camponotus","Camponotini","Formicinae"
"Camponotus sp2","Camponotus","Camponotini","Formicinae"
"Solenopsis sp2","Solenopsis","Solenopsidini","Myrmicinae"
"Cephalotes clypeatus","Cephalotes","Attini","Myrmicinae"
"Dolichoderus sp1","Dolichoderus","Dolichoderini","Dolichoderinae"
"Neoponera cf. villosa","Neoponera","Ponerini","Ponerinae"
"Acromyrmex sp1","Acromyrmex","Attini","Myrmicinae"
"Pseudomyrmex cf. denticollis","Pseudomyrmex","Pseudomyrmecini","Pseudomyrmecinae"
"Camponotus substitutus","Camponotus","Camponotini","Formicinae"
"Linepithema sp2","Linepithema","Dolichoderini","Dolichoderinae"
"Platythyrea exigua","Platythyrea","Platythyreini","Ponerinae"
"Crematogaster sp2","Crematogaster","Crematogastrini","Myrmicinae"
"Megalomyrmex silvestrii","Megalomyrmex","Solenopsidini","Myrmicinae"
"Strumigenys elongata","Strumigenys","Attini","Myrmicinae"
"Brachymyrmex sp2","Brachymyrmex","Myrmelachistini","Formicinae"
"Dorymyrmex sp1","Dorymyrmex","Dolichoderini","Dolichoderinae"
"Cyphomyrmex sp1","Cyphomyrmex","Attini","Myrmicinae"
"Hypoponera foreli","Hypoponera","Ponerini","Ponerinae"
"Pheidole radoszkowskii","Pheidole","Attini","Myrmicinae"
"Pheidole sp4","Pheidole","Attini","Myrmicinae"
"Hypoponera sp3","Hypoponera","Ponerini","Ponerinae"
"Procryptocerus cf. goeldii","Procryptocerus","Attini","Myrmicinae"
"Camponotus sp3","Camponotus","Camponotini","Formicinae"
"Ectatomma sp1","Ectatomma","Ectatommini","Ectatomminae"
"Eciton vagans","Eciton","Ecitonini","Dorylinae"
"Strumigenys cf. eggersi","Strumigenys","Attini","Myrmicinae"
"Anochetus cf. neglectus","Anochetus","Ponerini","Ponerinae"
"Gnamptogenys sp1","Gnamptogenys","Ectatommini","Ectatomminae"
"Nylanderia cf. silvestrii","Nylanderia","Plagiolepidini","Formicinae"
"Hypoponera trigona","Hypoponera","Ponerini","Ponerinae"
"Camponotus sp8","Camponotus","Camponotini","Formicinae"
"Camponotus sp9","Camponotus","Camponotini","Formicinae"
"Camponotus sp10","Camponotus","Camponotini","Formicinae"
"Procryptocerus hylaeus","Procryptocerus","Attini","Myrmicinae"
"Camponotus sp11","Camponotus","Camponotini","Formicinae"
"Dolichoderus bispinosus","Dolichoderus","Dolichoderini","Dolichoderinae"
"Camponotus sp12","Camponotus","Camponotini","Formicinae"
"Camponotus sp4","Camponotus","Camponotini","Formicinae"
"Camponotus sanctaefidei","Camponotus","Camponotini","Formicinae"
"Myrmelachista sp1","Myrmelachista","Myrmelachistini","Myrmicinae"
"Strumigenys louisianae","Strumigenys","Attini","Myrmicinae"
"Strumigenys cf. silvestrii","Strumigenys","Attini","Myrmicinae"
"Cephalotes sp3","Cephalotes","Attini","Myrmicinae"
"Pheidole cf. capillata","Pheidole","Attini","Myrmicinae"
"Acromyrmex sp2","Acromyrmex","Attini","Myrmicinae"
"Acromyrmex sp3","Acromyrmex","Attini","Myrmicinae"
"Pheidole sp3","Pheidole","Attini","Myrmicinae"
"Ectatomma opaciventre","Ectatomma","Ectatommini","Ectatomminae"
"Gnamptogenys sulcata","Gnamptogenys","Ectatommini","Ectatomminae"
"Crematogaster sp3","Crematogaster","Crematogastrini","Myrmicinae"
"Dorymyrmex sp3","Dorymyrmex","Dolichoderini","Dolichoderinae"
